id,algo,size,time_us,heap_delta,heap_peak_used,stack_peak_used,stack_used,current_before,current_after,power_before,power_after,power_delta,iteration,current_before_corr,current_after_corr,power_before_corr,power_after_corr,power_delta_corr,time_s,power_mW,mem_total
101,ASCON-128,16,1363,4444,2864,0,80,-17.3,-17.1,0,78,78,0,0,0,0,0,0,0.001363,0,2944
501,ASCON-128,16,1366,4444,2864,0,80,-8.4,-7.8,40,36,-4,7,0,0,0,0,0,0.001366,0,2944
301,ASCON-128,16,1367,4444,2616,0,80,-16.6,-14.5,76,66,-10,9,0,0,0,0,0,0.001367,0,2696
401,ASCON-128,16,1366,4444,2632,0,80,-8.4,-8,40,40,0,19,0,0,0,0,0,0.001366,0,2712
401,ASCON-128,16,1367,4444,2632,0,80,-18.4,-15.8,82,72,-10,21,0,0,0,0,0,0.001367,0,2712
401,ASCON-128,16,1366,4444,2632,0,80,-17.1,-16.6,78,76,-2,29,0,0,0,0,0,0.001366,0,2712
601,ASCON-128,16,1367,4444,2632,0,80,-17.1,-17.3,78,78,0,31,0,0,0,0,0,0.001367,0,2712
801,ASCON-128,16,1370,4444,2864,0,80,-18.4,-18.1,86,86,0,34,0,0,0,0,0,0.00137,0,2944
1001,ASCON-128,16,1369,4444,2604,0,80,-8.2,-9.1,40,46,6,36,0,0,0,0,0,0.001369,0,2684
1101,ASCON-128,16,1374,4444,2632,0,80,-9.3,-10.2,46,50,4,37,0,0,0,0,0,0.001374,0,2712
1201,ASCON-128,16,1369,4444,2860,0,80,-9.5,-9.9,46,50,4,38,0,0,0,0,0,0.001369,0,2940
1401,ASCON-128,16,1369,4444,2860,0,80,77.5,85.5,368,404,36,43,83.2,91.2,388.8931364,426.2867072,37.39357081,0.001369,37.39357081,2940
1501,ASCON-128,16,1374,4444,2860,0,80,108.6,112,512,528,16,44,114.3,117.7,534.2606429,550.1529105,15.89226759,0.001374,15.89226759,2940
1601,ASCON-128,16,1374,4444,2632,0,80,108.8,117,512,550,38,45,114.5,122.7,535.1954822,573.5238923,38.32841008,0.001374,38.32841008,2712
2001,ASCON-128,16,1370,4444,2616,0,80,63.9,68.7,302,324,22,49,69.6,74.4,325.324066,347.7602085,22.43614248,0.00137,22.43614248,2696
2201,ASCON-128,16,1370,4444,2616,0,80,112.9,116.6,530,548,18,51,118.6,122.3,554.3596872,571.6542137,17.2945265,0.00137,17.2945265,2696
2301,ASCON-128,16,1370,4444,2632,0,80,108.1,117.7,508,554,46,52,113.8,123.4,531.9235447,576.7958297,44.87228497,0.00137,44.87228497,2712
2401,ASCON-128,16,1369,4444,2632,0,80,116.8,120.9,548,566,18,53,122.5,126.6,572.589053,591.753258,19.16420504,0.001369,19.16420504,2712
2501,ASCON-128,16,1373,4444,2632,0,80,113.3,118.5,530,558,28,54,119,124.2,556.2293658,580.5351868,24.30582103,0.001373,24.30582103,2712
2601,ASCON-128,16,1369,4444,2652,0,80,39.9,45.1,190,212,22,55,45.6,50.8,213.1433536,237.4491746,24.30582103,0.001369,24.30582103,2732
2701,ASCON-128,16,1369,4444,2860,0,80,107.9,114.8,508,540,32,56,113.6,120.5,530.9887055,563.2406603,32.25195482,0.001369,32.25195482,2940
2901,ASCON-128,16,1370,4444,2616,0,80,107.3,114.9,504,540,36,58,113,120.6,528.1841877,563.7080799,35.52389227,0.00137,35.52389227,2696
3001,ASCON-128,16,1369,4444,2860,0,80,114.4,117.2,538,550,12,59,120.1,122.9,561.3709818,574.4587315,13.08774978,0.001369,13.08774978,2940
3101,ASCON-128,16,1373,4444,2860,0,80,110.3,116.3,518,548,30,60,116,122,542.2067767,570.2519548,28.04517811,0.001373,28.04517811,2940
3501,ASCON-128,16,1374,4444,2632,0,80,112,114.9,524,540,16,64,117.7,120.6,550.1529105,563.7080799,13.55516942,0.001374,13.55516942,2712
